Drug	Chemblid	max_phase	formula	synonyms	canonical
PRAZOSIN	CHEMBL2	4.0	C19H21N5O4	CP-12299;;;CP-122991;;;Prazosin;;;Prazosin;;;Prazosin;;;Prazosin;;;Prazosin;;;Prazosin	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
NICOTINE	CHEMBL3	4.0	C10H14N2	Habitrol;;;Nicabate;;;Nicoderm;;;Nicoderm cq;;;Nicopass;;;Nicopatch;;;Nicorette invisi;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotinell classic;;;Nicotinell support;;;Nicotinell tts 10;;;Nicotinell tts 20;;;Nicotinell tts 30;;;Nicotrol;;;Nicotrol Inhaler;;;Nicotrol NS;;;Niquitin;;;Niquitin clr;;;Niquitin minis cherry;;;Niquitin minis mint;;;Niquitin minis orange;;;Niquitin mint;;;Niquitin pre-quit;;;Niquitin strips mint;;;Prostep;;;Stoppers;;;Stubit	CN1CCC[C@H]1c1cccnc1
OFLOXACIN	CHEMBL4	4.0	C18H20FN3O4	DL-8280;;;Exocin;;;Floxin;;;Floxin otic;;;HOE 280;;;HOE-280;;;J01MA01;;;Ocuflox;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Tarivid;;;Tarivid 400;;;Tarivid i.v.;;;Visiren	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
NALIDIXIC ACID	CHEMBL5	4.0	C12H12N2O3	Mictral;;;Nalidixane;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalix;;;Neggram;;;Neg Gram;;;Negram;;;NSC-82174;;;Uriben;;;Uroneg;;;WIN 18,320;;;WIN-18320;;;Wintomylon	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
INDOMETHACIN	CHEMBL6	4.0	C19H16ClNO4	Artracin;;;Artracin sr;;;Berlind 75 ret;;;Flexin-25 continus;;;Flexin-50 continus;;;Flexin-75 continus;;;Imbrilon;;;Indocid-r;;;Indocid ret;;;Indocin;;;Indocin sr;;;Indoderm;;;Indoflex;;;Indolar;;;Indolar sr;;;Indo-lemmon;;;Indomax-25;;;Indomax-75 sr;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin farnesil;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomod;;;Indo-paed;;;Indoptol;;;Indotard mr 75;;;Ledmecin;;;Maximet sr;;;Mobilan;;;NSC-77541;;;Pardelprin mr;;;Rheumacin la;;;Rimacid;;;Slo-indo;;;Tivorbex	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
SULBACTAM	CHEMBL403	4.0	C8H11NO5S	CP-45899;;;CP-458992;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam	CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
TAZOBACTAM	CHEMBL404	4.0	C10H12N4O5S	CL 298,741;;;CL-298741;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;YTR-830H	C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CIPROFLOXACIN	CHEMBL8	4.0	C17H18FN3O3	BAY O 9867 FREE BASE;;;BAY-O-9867 FREE BASE;;;BAYQ3939;;;BAY Q 3939;;;BAY-Q-3939;;;Cetraxal;;;Ciloxan;;;Ciloxan;;;Cipro;;;Ciprobay;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Otiprio;;;Velmonit	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
NORFLOXACIN	CHEMBL9	4.0	C16H18FN3O3	Baccidal;;;Chibroxin;;;MK-366;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Noroxin;;;Noroxin;;;Quinabic;;;Utinor	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
AMPHETAMINE	CHEMBL405	4.0	C9H13N	Adzenys er;;;Adzenys xr-odt;;;Amfetamine;;;Amfetamine;;;Amfetamine;;;Amfetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine resin complex;;;Dyanavel xr;;;NSC-27159	CC(N)Cc1ccccc1
